state,x,y
Andhra Pradesh,-90.0, -224.0
Arunachal Pradesh,290.0 ,132.0
Assam,226.0, 82.0
Bihar,70.0, 68.0
Chhattisgarh,-20.0, -63.0
Goa,-209.0, -214.0
Gujarat,-265.0, -24.0
Haryana,-150.0, 159.0
Himachal Pradesh,-135.0, 248.0
Jharkhand,67.0, 3.0
Karnataka,-178.0, -240.0
Kerala,-139.0, -344.0
Madhya Pradesh,-124.0, -10.0
Maharashtra,-185.0, -115.0
Manipur,291.0, 30.0
Meghalaya,214.0, 53.0
Mizoram,256.0, -10.0
Nagaland,313.0, 76.0
Odisha,38.0, -74.0
Punjab,-192.0, 214.0
Rajasthan,-226.0, 93.0
Sikkim,149.0, 120.0
Tamil Nadu,-100.0, -333.0
Telangana,-92.0, -153.0
Tripura,228.0, 4.0
Uttar Pradesh,-54.0, 100.0
Uttarakhand,-80.0, 192.0
West Bengal,130.0, -13.0


